company_id,company_name,report_year,ai_mention_score,business_use_score,risk_score,governance_score,human_oversight_score,ethics_fairness_score,specificity_score,total_score,score_percentage,coder_notes,supporting_quote_or_context
001,Barclays plc,2025,2,2,2,2,1,2,2,13,92.86,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"class customer experience; and delivering best You can find out more about how the Directors have had regard to the matters set out in Section embracing artificial intelligence (AI) and other new in classservicecustomer 172(1) when discharging their duties, and the technologies in"
004,NatWest Group plc,2025,2,2,2,2,1,2,2,13,92.86,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"for example, privacy training to our data customers and suppliers. and artificial intelligence colleagues. Regular risk assessments: Risk assessments During 2025, there were a small number are condu"
002,HSBC Holdings plc,2025,2,2,2,2,0,2,2,12,85.71,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"source of funding for us, and forms the Hongkong and Shanghai Banking Corporation foundation of our financial stability. Limited, HSBC UK and HSBC Bank plc. Improving operational excellence through artificial intelligence In 2025, we accelerated the adoption of tool, HSBC Productivity Suite, which helps colleagues, and drive performance. Through Generative AI (‘GenAI’) across HSBC, moving them to analyse and translate"
009,Admiral Group plc,2025,2,2,2,2,0,2,2,12,85.71,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"ese shifts by leveraging our strengths across customer centricity, underwriting excellence, agility, and innovation. Generative and agentic UK direct insurance market artificial intelligence Generative and agentic artificial intelligence (‘AI’) is Over the past ten years, the UK direct insurance market fundamentally reshaping consumer behaviours across has demonstrated consistent growth,"
016,Funding Circle Holdings plc,2025,2,2,2,2,1,1,2,12,85.71,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"ats: the dual nature of AI environment. By maintaining a disciplined and cybersecurity approach to risk while responsibly risk landscape of 2026.” Artificial intelligence is reshaping financial embracing innovation, we will support services. For us, AI is a powerful lever UK SMEs through the cycle and create"
019,London Stock Exchange Group plc,2025,2,2,2,2,0,2,2,12,85.71,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"n track record of delivering real value through long-term partnership. David Schwimmer Chief Executive Officer AI strategy 25 February, 2026 Artificial intelligence is transforming financial markets. With our unmatched data, infrastructure and partnerships, LSEG is at London Stock Exchange Group plc | An"
020,Experian plc,2025,2,2,2,2,0,2,2,12,85.71,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"rating of 4.2/5, Our client Net Promotor Score (NPS) has up from 4.1 four years ago increased for seven years running since FY18 Our Generative Artificial Intelligence >200m (GenAI)-enabled tool, Experian Assistant, Our free consumer member won the 2025 BIG Innovation Award in the"
005,Standard Chartered plc,2025,2,1,2,2,0,2,2,11,78.57,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"ty, sustainability challenges and Group’s strategy, the activities of the Board leadership succession. committees and a keynote presentation on artificial intelligence and cyber governance. AGM The AGM, held on 8 May in 2025, was the Board’s Provided an opportunity for retail shareholders key opportunity for engagement with retail to engag"
015,CAB Payments Holdings plc,2025,2,2,2,2,0,2,1,11,78.57,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"authorities to ensure a compliant this, artificial intelligence is transforming the currency crosses with Chinese solution"
003,Lloyds Banking Group plc,2025,2,1,2,2,0,1,2,10,71.43,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"verview Competition remains intense with high street banks and Rapidly evolving technology landscape, accelerated building societies maintaining their focus on share growth, by developments in artificial intelligence and digital and building scale by consolidating smaller players. Alongside, transformation. These shifts are enabling new engagement neobanks and fintechs continue to gain momentum by models, in"
006,Aviva plc,2025,2,2,2,2,0,1,1,10,71.43,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"Insurance, Wealth and Driving operating leverage with Benefitting from our diversified capital-light and respect.Retirement solutions, technology and artificial intelligence (AI) portfolio, which drives resilient performance"
007,Legal & General Group plc,2025,2,1,2,2,0,2,1,10,71.43,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"ust also respond to emerging trends, including developments in ArtificialIn February 2025, we announced a Intelligence (AI). In 2026, we plan to£1.8 billion transaction with Japanese introduce AI-powered features to someinsurer Meiji Yasuda Life, which saw them"
014,Wise plc,2025,2,2,2,2,0,1,1,10,71.43,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"We expect to focus on model risk and the governance of At Wise we recognise that good risk management enables management system. This has significantly improved feedback artificial intelligence, as well as further strengthening our the business to make better decisions, avoid pitfalls, loops between risk controls and risk assessments, and has defences in financial crime where we will uplift"
008,M&G plc,2025,2,1,2,2,0,1,1,9,64.29,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"controls, as well as implementing an enhanced target artificial intelligence and post-quantum computing, suchchallenge. The third line Internal Audit function, empowered operating model. This work would anticipate taking any"
010,AJ Bell plc,2025,2,2,1,2,0,1,1,9,64.29,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,y of leadership and open communication to AJ Bell’s People Strategy. Our framework artificial intelligence (GenAI) to enhance development journey.remain central to our culture. We deliver a range is a set of activities and processes designed
011,IG Group Holdings plc,2025,2,1,2,2,0,1,1,9,64.29,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,st in prioritise investment in larger and fast- and enabling cryptocurrency deposits automation and artificial intelligence across growing markets. and withdrawals for seven digital assets. the business to enhance scalability.
017,Boku Inc.,2025,2,2,2,1,0,1,1,9,64.29,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"utomation and scalability through +30% vs 2024 (+29% CER) operational infrastructure enhancements Growing EBITDA $41.3m +36% vs 2024 Invested in key capabilities including data, AI, product and transformation to drive scalability Operating proﬁt $18.9M +205% vs 2024 Launched Singapore Innovation Hub B"
013,IntegraFin Holdings plc,2025,2,1,2,2,0,0,1,8,57.14,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"economic environment and consumer behaviour and confidence as well as increasing Time horizon: ongoing the risk of civil unrest and cyber attacks, particularly state sponsored or politically motivated cyber attacks. Artificial intelligence AI is a constantly evolving opportunity and risk for the Group. Key areas of activity have included business Time horizon: ongoing proposition and competitive advantage, day-to-day operations, workforce educatio"
018,PayPoint plc,2025,1,2,1,2,0,1,1,8,57.14,Initial automated score based on keyword frequency and context. Manual validation required before using as final dissertation score.,"with the launch of a new consumers and our carrier partners. We have also demonstrable performance optimisation and AI-driven statement reader to further speed expanded our Zebra printer technology to over services adoption. In addition, we continue to drive"
